Latitude,Longitude,Emission Value
46.7559, -122.8578, 6097084
8.470931, -122.559161, 1989609
48.8864, -122.7353, 1987668
46.130495, -122.983637, 1551719
46.10361, -122.92167, 1234174
48.493816, -122.564845, 1130624
48.8455, -122.7055, 1104521
47.260953, -122.421765, 975859
46.9688, -123.48, 798454
48.830142, -122.692114, 694176
46.6226, -122.9145, 652556
46.10396, -118.9184, 602496
46.952907, -123.76211, 590918
48.093793, -122.796806, 547916
46.140095, -122.985138, 483652
48.620335, -118.110841, 474250
45.64958, -122.724806, 425704
45.8114, -120.833, 362741
47.56799, -122.34255, 302529
48.828707, -122.685533, 291595
48.448553, -122.434613, 270097
47.086342, -122.365686, 247524
45.807146, -120.179785, 247114
46.971875, -123.775526, 242007
45.584271, -122.40843, 239496
46.246902, -122.772284, 232667
47.626529, -117.504278, 181556
46.972405, -122.292799, 131166
47.256813, -122.394952, 130646
48.9905, -122.2733, 127685
47.687074, -117.212673, 119791
46.053153, -118.843934, 117391
46.165957, -119.017218, 111688
46.610031, -120.39408, 106984
47.277256, -117.406737, 101465
46.544937, -122.926313, 99691
48.4553, -122.435, 98865
46.837778, -119.176389, 98817
47.569331, -122.367332, 96815
46.137521, -118.913051, 96453
45.619569, -122.454955, 92022
48.746, -122.486, 90783
47.653614, -122.303608, 86688
49.001, -122.2214, 84389
48.262797, -121.597608, 84314
47.1142, -122.5365, 76476
46.309314, -119.297267, 74881
47.55242, -122.33739, 72308
47.213448, -123.096517, 69776
47.918622, -122.276987, 68968
45.713913, -121.468688, 68423
48.465617, -122.556032, 65866
47.462625, -122.046025, 64534
46.02191, -122.85698, 64228
48.613175, -118.116106, 63133
46.53558, -118.293441, 62619
47.138359, -119.200383, 61901
47.6068, -122.340179, 61882
46.840102, -119.172705, 61571
46.728702, -117.151481, 61179
46.533743, -121.917906, 61071
48.467646, -122.554343, 57150
47.61345, -122.19454, 56715
48.609799, -118.067441, 55496
48.421967, -122.21547, 51104
46.137218, -122.982847, 50061
47.548056, -122.336944, 49065
47.78825, -122.05859, 47089
47.269558, -122.394869, 45535
47.270759, -119.573764, 45103
48.548525, -117.915469, 44531
46.688088, -123.737495, 43776
48.885475, -122.724299, 43648
47.583604, -117.568511, 43240
46.288137, -119.115336, 42846
47.557047, -122.645933, 42446
45.807765, -120.166354, 42200
46.756413, -122.995433, 41004
48.289771, -117.271359, 38861
47.079716, -122.364711, 38345
46.4785, -120.2688, 37345
46.30058, -120.015675, 37028
46.125662, -122.976788, 36719
47.285551, -122.242298, 35848
46.565997, -122.269573, 35595
47.228986, -122.209551, 35338
48.103425, -123.518642, 35266
46.651389, -118.871944, 32498
47.131732, -119.18926, 32073
47.405083, -120.167444, 29914
47.234413, -119.869914, 29517
46.970469, -119.063631, 28858
46.133131, -118.90629, 28698
47.688295, -117.279323, 26710
47.455871, -122.041817, 25458
47.052176, -119.093815, 24475
47.075183, -119.220408, 24156
46.346663, -119.348118, 24090
46.04326, -122.871703, 23973
46.031656, -122.866241, 23325
46.21875, -119.22987, 23179
47.696999, -117.147223, 22730
48.100872, -123.485745, 22705
47.239948, -119.838831, 22586
47.532524, -122.311623, 22426
46.533325, -122.87373, 21916
45.771216, -120.799267, 21669
47.870014, -122.118284, 21475
46.995459, -123.382316, 20542
47.699284, -122.696926, 19785
45.991872, -119.136497, 19764
46.107229, -122.905601, 19671
46.64992, -120.52755, 19370
47.498257, -122.211346, 19350
47.088831, -122.34862, 19166
46.968196, -123.853622, 18812
45.661178, -122.658608, 18006
46.21842, -119.73397, 17919
46.975533, -122.290871, 16728
47.062059, -122.318981, 16346
46.971504, -119.055427, 15762
48.947567, -122.451915, 15574
45.657037, -122.692, 15521
45.63236, -122.36516, 15468
47.673662, -117.388735, 15291
